                            SUZUKI MOTOR GUJARAT PRIVATE LIMITED
--------------------------------------------------------------------------------------------
                            DATE:2/5/2024 9:57 AM
--------------------------------------------------------------------------------------------
VCODE    SLY DATE     TIME    ICODE            QTY  UN LOC   US LOC    KANBAN NO
C336     06-FEB-2024  11:45  38930M55R00       280    BA-24   AB1     06P406663664AB1
C336     06-FEB-2024  17:45  38930M55R00       280    BA-24   AB1     06P406663672AB1
C336     06-FEB-2024  07:30  38930M55R10       280    CA-02   AC1     06P406621562AC1
C336     06-FEB-2024  15:45  56111M75F00       500    CA-01   AC1     06P406621570AC1
C336     06-FEB-2024  17:45  56111M75F00       500    BA-25   AB1     06P406663680AB1
C336     06-FEB-2024  07:30  56120M54TA1       16     BA-25   AB1     06P406663699AB1
C336     06-FEB-2024  11:45  56120M54TA1       16     BA-25   AB1     06P406663702AB1
C336     06-FEB-2024  17:45  56120M54TA1       24     BA-25   AB1     06P406663710AB1
C336     06-FEB-2024  07:30  56120M54TB1       16     CA-01   AC1     06P406621589AC1
C336     06-FEB-2024  07:30  56120M54TB1       32     BA-25   AB1     06P406663729AB1
C336     06-FEB-2024  09:45  56120M54TB1       16     CA-01   AC1     06P406621597AC1
C336     06-FEB-2024  11:45  56120M54TB1       40     BA-25   AB1     06P406663737AB1
C336     06-FEB-2024  12:45  56120M54TB1       8      CA-01   AC1     06P406621600AC1
C336     06-FEB-2024  15:45  56120M54TB1       8      CA-01   AC1     06P406621619AC1
C336     06-FEB-2024  17:45  56120M54TB1       40     BA-25   AB1     06P406663745AB1
C336     06-FEB-2024  18:45  56120M54TB1       16     CA-01   AC1     06P406621627AC1
C336     06-FEB-2024  21:45  56120M54TB1       8      CA-01   AC1     06P406621635AC1
C336     06-FEB-2024  07:30  56120M54TC1       16     CA-01   AC1     06P406621643AC1
C336     06-FEB-2024  07:30  56120M54TC1       56     BA-25   AB1     06P406663753AB1
C336     06-FEB-2024  09:45  56120M54TC1       16     CA-01   AC1     06P406621651AC1
C336     06-FEB-2024  12:45  56120M54TC1       16     CA-01   AC1     06P406621660AC1
C336     06-FEB-2024  15:45  56120M54TC1       16     CA-01   AC1     06P406621678AC1
C336     06-FEB-2024  18:45  56120M54TC1       16     CA-01   AC1     06P406621686AC1
C336     06-FEB-2024  21:45  56120M54TC1       16     CA-01   AC1     06P406621694AC1
C336     06-FEB-2024  06:30  56120M54TD1       56     BA-25   AB2     06P406542530AB2
C336     06-FEB-2024  07:30  56120M54TD1       8      CA-01   AC1     06P406621708AC1
C336     06-FEB-2024  07:30  56120M54TD1       8      BA-25   AB1     06P406663761AB1
C336     06-FEB-2024  09:45  56120M54TD1       8      CA-01   AC1     06P406632475AC1
C336     06-FEB-2024  10:45  56120M54TD1       32     BA-25   AB2     06P406542549AB2
C336     06-FEB-2024  11:45  56120M54TD1       8      BA-25   AB1     06P406663770AB1
C336     06-FEB-2024  12:45  56120M54TD1       8      CA-01   AC1     06P406632483AC1
C336     06-FEB-2024  14:45  56120M54TD1       48     BA-25   AB2     06P406542557AB2
C336     06-FEB-2024  15:45  56120M54TD1       16     CA-01   AC1     06P406632491AC1
C336     06-FEB-2024  17:45  56120M54TD1       8      BA-25   AB1     06P406663788AB1
C336     06-FEB-2024  19:45  56120M54TD1       48     BA-25   AB2     06P406542565AB2
C336     06-FEB-2024  07:30  56120M54TE1       56     CA-01   AC1     06P406632505AC1
C336     06-FEB-2024  07:30  56120M54TE1       128    BA-25   AB1     06P406663796AB1
C336     06-FEB-2024  09:45  56120M54TE1       40     CA-01   AC1     06P406632513AC1
C336     06-FEB-2024  11:45  56120M54TE1       144    BA-25   AB1     06P406663800AB1
C336     06-FEB-2024  12:45  56120M54TE1       32     CA-01   AC1     06P406632521AC1
C336     06-FEB-2024  15:45  56120M54TE1       40     CA-01   AC1     06P406632530AC1
C336     06-FEB-2024  17:45  56120M54TE1       176    BA-25   AB1     06P406663818AB1
C336     06-FEB-2024  18:45  56120M54TE1       24     CA-01   AC1     06P406632548AC1
C336     06-FEB-2024  21:45  56120M54TE1       16     CA-01   AC1     06P406632556AC1
C336     06-FEB-2024  07:29  56210M55T00       100    CA-06   AC3     06P406668992AC3
C336     06-FEB-2024  07:30  56210M55T00       100    BA-04   AB4     06P406531539AB4
C336     06-FEB-2024  09:45  56210M55T00       100    CA-06   AC3     06P406669000AC3
C336     06-FEB-2024  12:45  56210M55T00       100    CA-06   AC3     06P406669018AC3
C336     06-FEB-2024  13:44  56210M55T00       900    AA-04   AA3     06P406614108AA3
C336     06-FEB-2024  15:45  56210M55T00       100    CA-06   AC3     06P406669026AC3
C336     06-FEB-2024  18:45  56210M55T00       100    CA-06   AC3     06P406669034AC3
C336     06-FEB-2024  06:30  56210M73R00       100    BA-04   AB2     06P406542573AB2
C336     06-FEB-2024  07:30  56210M73R00       100    BA-04   AB1     06P406663826AB1
C336     06-FEB-2024  09:45  56210M73R00       100    CA-06   AC1     06P406632564AC1
C336     06-FEB-2024  11:45  56210M73R00       300    BA-04   AB1     06P406663834AB1
C336     06-FEB-2024  12:45  56210M73R00       100    CA-06   AC1     06P406632572AC1
C336     06-FEB-2024  17:45  56210M73R00       300    BA-04   AB1     06P406663842AB1
