0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:39:07 +0530] "GET /tbis/api/report/metadata?id=85 HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:39:07 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=warehouse HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:39:07 +0530] "GET /tbis/api/report/metadata?id=85 HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:39:07 +0530] "GET /tbis/api/report/metadata?id=86 HTTP/1.1" 200 6023
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:39:07 +0530] "GET /tbis/api/report/data?id=85&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:39:07 +0530] "GET /tbis/api/report/data?id=86&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:39:07 +0530] "GET /tbis/api/report/data?id=85&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:39:07 +0530] "GET /tbis/api/report/data?id=86&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:38 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=employee HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:38 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=docks HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:38 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=customer HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:38 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=plants HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:38 +0530] "GET /tbis/api/report/metadata?id=63 HTTP/1.1" 200 2701
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:38 +0530] "GET /tbis/api/report/data?id=63&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:44 +0530] "POST /tbis/api/picklist/uploadpicklist HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:44 +0530] "GET /tbis/api/report/data?id=63&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=desc&_search=false HTTP/1.1" 200 3997
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:46 +0530] "GET /tbis/api/picklist?code=22 HTTP/1.1" 200 1613
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:46 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=picklistcustparts&customerid=51 HTTP/1.1" 200 1681
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:47 +0530] "GET /tbis/api/report/metadata?id=63 HTTP/1.1" 200 2701
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:47 +0530] "GET /tbis/api/report/data?id=63&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 3995
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:49 +0530] "GET /tbis/api/report/metadata?id=86 HTTP/1.1" 200 6023
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:49 +0530] "GET /tbis/api/report/metadata?id=86 HTTP/1.1" 200 6023
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:49 +0530] "GET /tbis/api/report/data?id=86&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 9159
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:49 +0530] "GET /tbis/api/report/data?id=86&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 9159
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:56 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=sublocation HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:56 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=location HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:56 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=documenttype HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:56 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=cardmaster HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:56 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=billingcycle HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:56 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=linespace HTTP/1.1" 200 11334
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:56 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=documenttype HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:56 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=unloaddoc HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:56 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=employee HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:56 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=vehicletypes HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:56 +0530] "GET /tbis/api/report/metadata?id=59 HTTP/1.1" 200 2176
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:56 +0530] "GET /tbis/api/report/data?id=59&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=vechicleid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:58 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=vehicletypes HTTP/1.1" 200 848
