0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:35 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=lgtransporter HTTP/1.1" 200 1444
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:35 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=warehouse HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:35 +0530] "GET /tbis/api/report/data?id=55&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=asnno&sord=asc&sord=desc&_search=false&status=2 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:39 +0530] "GET /tbis/api/users/logout HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:43 +0530] "POST /tbis/api/users/login HTTP/1.1" 200 13284
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:43 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=loginlocations HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:43 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=customer HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:43 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=location HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:43 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=asndatadashboard HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:43 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=picklistdashboard HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:43 +0530] "GET /tbis/api/dashboard/tbisdash?fromdate=19-06-2024&todate=19-06-2024 HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:43 +0530] "GET /tbis/api/ajax?ic=0&id=usermenu&ro=true HTTP/1.1" 200 1083
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:43 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=customer HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:43 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=asndatadashboard HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:43 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=picklistdashboard HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:43 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=location HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:43 +0530] "GET /tbis/api/dashboard/tbisdash?fromdate=19-06-2024&todate=19-06-2024 HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:46 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=warehouse HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:46 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=lgtransporter HTTP/1.1" 200 1444
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:46 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=vehicletypes HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:46 +0530] "GET /tbis/api/report/metadata?id=55 HTTP/1.1" 200 4752
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:46 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=warehouse HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:46 +0530] "GET /tbis/api/report/data?id=55&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=asnno&sord=asc&sord=desc&_search=false&status=2 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:47 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=asncustomerdetail HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:42:47 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=asnentrycusparts&customerid=51 HTTP/1.1" 200 1721
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:06 +0530] "GET /tbis/api/users/logout HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:10 +0530] "POST /tbis/api/users/login HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:10 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=loginlocations HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:10 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=customer HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:10 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=location HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:10 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=asndatadashboard HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:10 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=picklistdashboard HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:10 +0530] "GET /tbis/api/dashboard/tbisdash?fromdate=19-06-2024&todate=19-06-2024 HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:10 +0530] "GET /tbis/api/ajax?ic=0&id=usermenu&ro=true HTTP/1.1" 200 7075
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:10 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=picklistdashboard HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:10 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=asndatadashboard HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:10 +0530] "GET /tbis/api/dashboard/tbisdash?fromdate=19-06-2024&todate=19-06-2024 HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:10 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=customer HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:10 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=location HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:13 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=partmaster HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:13 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=location HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:13 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=sublocation HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:43:13 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=linerack HTTP/1.1" 200 11
